date,area,price_type,avg_price_gbp,mom_change_pct,yoy_change_pct,days_to_find_buyer,bank_rate_pct,source_url,collected_as_of,price_lag1,mom_lag1,price_lag2,mom_lag2,price_lag3,mom_lag3,fwd_1m_return_pct,fwd_1m_end_date,fwd_3m_return_pct,fwd_3m_end_date
2026-06-01,South East,asking_rightmove,484819,-1.0,-1.6,65,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,489561,1.4,482573,1.25,476637,1.4,-1.0385,2026-07-01,,
2026-07-01,South East,asking_rightmove,479784,-1.0,-1.4,67,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,484819,-1.0,489561,1.4,482573,1.25,,,,
2025-08-01,Scotland,asking_rightmove,197620,-1.0,2.9,33,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,0.7722,2025-09-01,-1.8131,2025-11-01
2025-09-01,Scotland,asking_rightmove,199146,0.8,2.6,33,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,197620,-1.0,,,,,0.6583,2025-10-01,-5.6471,2025-12-01
2025-10-01,Scotland,asking_rightmove,200457,0.7,1.3,33,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,199146,0.8,197620,-1.0,,,-3.2027,2025-11-01,-6.6438,2026-01-01
2025-11-01,Scotland,asking_rightmove,194037,-3.2,0.4,34,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,200457,0.7,199146,0.8,197620,-1.0,-3.1628,2025-12-01,0.401,2026-02-01
2025-12-01,Scotland,asking_rightmove,187900,-3.2,1.3,37,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,194037,-3.2,200457,0.7,199146,0.8,-0.405,2026-01-01,6.1884,2026-03-01
2026-01-01,Scotland,asking_rightmove,187139,-0.4,1.7,42,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,187900,-3.2,194037,-3.2,200457,0.7,4.1018,2026-02-01,11.2125,2026-04-01
2026-02-01,Scotland,asking_rightmove,194815,4.1,2.3,50,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,187139,-0.4,187900,-3.2,194037,-3.2,2.4192,2026-03-01,5.4169,2026-05-01
2026-03-01,Scotland,asking_rightmove,199528,2.4,1.0,39,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,194815,4.1,187139,-0.4,187900,-3.2,4.3072,2026-04-01,3.7504,2026-06-01
2026-04-01,Scotland,asking_rightmove,208122,4.31,3.75,33,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,199528,2.4,194815,4.1,187139,-0.4,-1.3233,2026-05-01,-2.0315,2026-07-01
2026-05-01,Scotland,asking_rightmove,205368,-1.3,1.9,31,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,208122,4.31,199528,2.4,194815,4.1,0.8,2026-06-01,,
2026-06-01,Scotland,asking_rightmove,207011,0.8,3.3,31,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,205368,-1.3,208122,4.31,199528,2.4,-1.5057,2026-07-01,,
2026-07-01,Scotland,asking_rightmove,203894,-1.5,2.2,29,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,207011,0.8,205368,-1.3,208122,4.31,,,,
2025-08-01,North West,asking_rightmove,268393,-0.2,2.6,58,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,0.7012,2025-09-01,-1.3823,2025-11-01
2025-09-01,North West,asking_rightmove,270275,0.7,3.2,59,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,268393,-0.2,,,,,-0.878,2025-10-01,-1.9624,2025-12-01
2025-10-01,North West,asking_rightmove,267902,-0.9,1.9,58,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,270275,0.7,268393,-0.2,,,-1.2016,2025-11-01,-0.5371,2026-01-01
2025-11-01,North West,asking_rightmove,264683,-1.2,1.9,61,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,267902,-0.9,270275,0.7,268393,-0.2,0.1088,2025-12-01,1.0171,2026-02-01
2025-12-01,North West,asking_rightmove,264971,0.1,2.6,65,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,264683,-1.2,267902,-0.9,270275,0.7,0.5631,2026-01-01,2.1455,2026-03-01
2026-01-01,North West,asking_rightmove,266463,0.6,2.9,68,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,264971,0.1,264683,-1.2,267902,-0.9,0.3423,2026-02-01,1.9841,2026-04-01
2026-02-01,North West,asking_rightmove,267375,0.3,2.9,74,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,266463,0.6,264971,0.1,264683,-1.2,1.2271,2026-03-01,3.5886,2026-05-01
2026-03-01,North West,asking_rightmove,270656,1.2,2.6,66,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,267375,0.3,266463,0.6,264971,0.1,0.4042,2026-04-01,1.3755,2026-06-01
